degree,coefficients,input_sequence,target_sequence
3,"7,6,10,-7,0,0","-102968,-116109,-130322,-145649,-162132,-179813,-198734,-218937,-240464",-263357
1,"6,9,0,0,0,0","78,87,96,105,114,123,132",141
4,"-8,9,3,-7,-5,0","-63632,-42798,-27548,-16784,-9528,-4922,-2228",-828
3,"-9,-8,-10,10,0,0","260751,288043,317175,348207,381199,416211,453303",492535
4,"0,-6,5,-9,5,0","26595,41440,61765,88776,123799,168280,223785",292000
3,"10,-2,6,-3,0,0","10,11,6,-23,-94,-225",-434
5,"-3,-7,3,-10,8,2","93317,163473,270227,426203,646617,949517,1356023,1890567,2581133",3459497
4,"9,-3,10,-10,-10,0","-881492,-1104885,-1368238,-1676051,-2033064",-2444257
3,"1,0,-8,-5,0,0","-71,-206,-447,-824,-1367,-2106",-3071
5,"-9,-10,-8,-3,5,-5","-13134,-33405,-73530,-145497,-265374",-453909
5,"-3,-3,10,2,1,-7","2624944,1760577,1140576,709027,419280,233109,119872,55671,22512",7465
3,"5,-6,7,-4,0,0","10054,7997,6242,4765,3542,2549,1762,1157,710",397
1,"-6,-6,0,0,0,0","48,42,36,30,24,18,12,6,0,-6",-12
4,"-3,8,5,-7,10,0","1092057,870907,685181,530877,404233,301727,220077,156241",107417
2,"5,-2,-8,0,0,0","-2623,-2921,-3235,-3565,-3911",-4273
3,"8,-6,-1,4,0,0","-6976,-5371,-4032,-2935,-2056,-1371,-856,-487",-240
3,"-6,4,10,5,0,0","-36086,-30767,-25998,-21749,-17990,-14691,-11822,-9353,-7254",-5495
1,"-3,-10,0,0,0,0","97,87,77,67,57,47,37",27
4,"-3,0,-9,-7,-8,0","-13,-3,-27,-223,-921",-2643
5,"3,7,-3,-4,-5,-9","-2703,-10769,-31787,-77391,-164735,-317573,-567339,-954227",-1528271
3,"-1,7,-6,-10,0,0","-3676,-5449,-7714,-10531,-13960,-18061,-22894,-28519,-34996,-42385",-50746
1,"-10,-1,0,0,0,0","4,3,2,1,0,-1,-2",-3
2,"0,-9,6,0,0,0","-3,6,27,60,105,162",231
1,"-8,1,0,0,0,0","-7,-6,-5,-4,-3,-2,-1,0",1
2,"-1,-6,3,0,0,0","44,71,104,143,188,239,296",359
3,"-1,8,3,-2,0,0","2936,2219,1628,1151,776,491,284,143",56
5,"10,-6,6,5,10,-4","-1134,-5495,-16874,-41241,-87206,-166499,-294450",-490469
5,"-1,-4,-8,2,-7,-4","-41770726,-50694697,-61082290,-73106545,-86953630",-102823321
2,"4,-1,3,0,0,0","238,294,356,424,498,578,664,756",854
1,"-6,-6,0,0,0,0","-120,-126,-132,-138,-144,-150,-156,-162,-168",-174
4,"-7,7,7,-2,-7,0","-272937,-359452,-465047,-592338,-744109,-923312,-1133067",-1376662
3,"10,-6,9,-4,0,0","-38358,-44035,-50246,-57015,-64366,-72323",-80910
5,"4,2,3,5,-4,-9","196,5,4,1,-292,-2339,-9860",-29911
2,"4,8,9,0,0,0","3064,3405,3764,4141,4536,4949,5380,5829,6296",6781
5,"0,8,-3,1,6,4","41420200,50283116,60601986,72549232,86310380,102084540,120084886,140539136",163690032
4,"8,0,-3,-2,-4,0","-27937,-42292,-61581,-86824,-119137",-159732
3,"-2,2,10,10,0,0","-55118,-46276,-38434,-31532,-25510",-20308
4,"9,-5,4,3,-3,0","-369028,-454491,-553992,-668989,-801012,-951663",-1122616
1,"6,3,0,0,0,0","-45,-42,-39,-36,-33,-30,-27,-24,-21",-18
2,"9,-4,-6,0,0,0","9,-1,-23,-57,-103,-161,-231,-313",-407
3,"-8,3,5,6,0,0","208,468,882,1486,2316,3408,4798,6522",8616
4,"2,-7,10,-8,9,0","143706,99072,65756,41658,24894,13796,6912,3006",1058
5,"6,9,-6,-3,10,6","-287058,-154562,-76154,-33312,-12314,-3518,-642,-44,-2",6
5,"-6,-3,-2,10,-10,5","55011444,66625410,80123142,95725050,113668104,134206434,157611930,184174842,214204380",248029314
2,"7,6,2,0,0,0","1203,1303,1407,1515,1627,1743,1863",1987
3,"9,10,3,8,0,0","-38598,-32151,-26466,-21495,-17190,-13503,-10386,-7791,-5670,-3975",-2658
4,"7,-4,9,9,8,0","249737,333739,437347,563399,714925,895147",1107479
3,"6,-10,-8,-5,0,0","18598,15231,12298,9769,7614,5803,4306,3093,2134,1399",858
3,"-5,9,6,9,0,0","-6161,-4301,-2861,-1787,-1025,-521,-221,-71",-17
4,"0,7,10,-2,-4,0","-16712,-26829,-40930,-59939,-84876,-116857",-157094
3,"-9,-5,0,-2,0,0","8263,6816,5549,4450,3507",2708
4,"2,5,5,-4,-7,0","-96611,-65548,-42649,-26342,-15223,-8056,-3773,-1474,-427,-68",-1
5,"-5,-8,0,-7,4,5","176571,316309,532915,854409,1314907,1955221,2823459,3975625",5476219
5,"3,-9,9,7,2,-8","-22692,-57831,-126872,-249861,-453516,-772187,-1248816,-1935897",-2896436
1,"6,-5,0,0,0,0","-69,-74,-79,-84,-89,-94,-99,-104,-109,-114",-119
4,"9,2,3,7,-1,0","-391410,-458575,-533968,-618231,-712030,-816055,-931020",-1057663
5,"9,-6,5,-10,-8,10","23651532,30641889,39194640,49558089,62005548,76836537,94377984",114985425
5,"-8,4,-5,6,0,-3","-51503208,-61391210,-72742388,-85713396,-100471688",-117195878
4,"-10,8,-4,6,8,0","56600,85670,124708,175766,241088",323110
2,"9,1,-6,0,0,0","-843,-992,-1153,-1326,-1511,-1708,-1917,-2138",-2371
5,"3,-4,-1,2,7,-1","6,87,360,867,1458,1671,612,-3165",-11778
4,"-1,-9,-7,0,9,0","-8,97,638,2155,5404,11357,21202,36343,58400,89209",130822
4,"0,-1,-4,-6,1,0","111860,89104,69990,54110,41080,30540,22154,15610",10620
4,"7,8,6,8,-9,0","-5351353,-6165132,-7068353,-8067340,-9168633,-10378988",-11705377
1,"9,2,0,0,0,0","9,11,13,15,17,19,21",23
1,"1,-7,0,0,0,0","-146,-153,-160,-167,-174,-181,-188,-195,-202,-209",-216
4,"-8,-7,3,-6,-2,0","-51500,-69896,-92814,-120938,-155000,-195780",-244106
4,"4,-7,0,3,10,0","376030,279114,202264,142498,97074,63490",39484
3,"10,-6,6,-4,0,0","-4654,-6110,-7842,-9874,-12230",-14934
4,"-1,-5,-3,1,-8,0","-10291,-19048,-32489,-52048,-79351,-116216",-164653
2,"2,-7,-10,0,0,0","-1354,-1131,-928,-745,-582,-439,-316,-213,-130,-67",-24
3,"4,-9,-6,-10,0,0","16528,12687,9494,6889,4812,3203,2002",1149
3,"6,-1,-3,-2,0,0","3042,2316,1716,1230,846,552,336,186,90,36",12
2,"5,-8,7,0,0,0","6065,6484,6917,7364,7825",8300
4,"-8,-6,-2,2,-6,0","-128096,-90692,-62148,-40940,-25688,-15156,-8252,-4028,-1680",-548
3,"3,-9,-7,-10,0,0","-2463,-3833,-5637,-7935,-10787,-14253,-18393,-23267,-28935,-35457",-42893
4,"-8,5,-10,-5,4,0","727306,879046,1053346,1252336,1478242,1733386,2020186",2341156
1,"3,-6,0,0,0,0","117,111,105,99,93,87",81
5,"-6,9,7,10,3,3","-18,-6,26,264,1326,4622,12714",29676
5,"-9,-7,-4,6,-1,-1","1676,339,-24,-43,-12,-9,-16,-39,-228,-997",-3144
1,"8,-8,0,0,0,0","152,144,136,128,120,112,104",96
2,"-9,-2,-7,0,0,0","-3441,-3758,-4089,-4434,-4793",-5166
4,"-9,-8,-4,10,6,0","1038231,1257555,1509895,1798407,2126391",2497291
1,"7,6,0,0,0,0","139,145,151,157,163,169,175,181,187",193
2,"3,-5,1,0,0,0","87,107,129,153,179",207
1,"10,-1,0,0,0,0","5,4,3,2,1,0,-1",-2
2,"1,-5,-8,0,0,0","-41,-86,-147,-224,-317,-426,-551,-692,-849",-1022
2,"5,1,6,0,0,0","27,10,5,12,31,62,105,160,227,306",397
1,"-6,-5,0,0,0,0","9,4,-1,-6,-11,-16,-21",-26
3,"-9,3,-7,1,0,0","-3428,-2781,-2220,-1739,-1332,-993,-716,-495,-324",-197
3,"10,-7,-4,3,0,0","-4390,-3320,-2438,-1726,-1166,-740,-430,-218,-86,-16",10
3,"7,9,-10,7,0,0","37753,44581,52187,60613,69901,80093,91231,103357,116513",130741
3,"0,5,-9,5,0,0","-4419,-3176,-2191,-1434,-875,-484,-231,-86",-19
3,"-6,-2,0,6,0,0","4350,5974,7958,10338,13150,16430,20214,24538,29438",34950
1,"-2,-8,0,0,0,0","-114,-122,-130,-138,-146,-154,-162,-170",-178
3,"7,1,3,8,0,0","1087,1849,2905,4303,6091",8317
4,"6,7,-4,2,-8,0","-313692,-233643,-169998,-120345,-82464,-54327",-34098
5,"8,7,-10,-9,0,-4","-4233608,-5726408,-7613866,-9969596,-12875852,-16424008",-20715038
4,"4,-6,-3,-2,2,0","6932,11371,17644,26195,37516,52147",70676
3,"5,-2,-3,5,0,0","16175,19685,23669,28157,33179,38765,44945",51749
2,"7,-4,2,0,0,0","1063,1157,1255,1357,1463,1573,1687,1805,1927",2053
2,"9,10,1,0,0,0","1008,1073,1140,1209,1280,1353,1428,1505,1584,1665",1748
1,"5,2,0,0,0,0","-25,-23,-21,-19,-17,-15,-13",-11
3,"3,4,6,-4,0,0","-45399,-51741,-58647,-66141,-74247,-82989,-92391",-102477
4,"1,-6,-2,9,-3,0","-1214251,-1418795,-1648135,-1904197,-2188979,-2504551",-2853055
5,"2,0,3,-5,9,7","38131942,47513724,58656962,71798752,87196566,105129092,125897074",149824152
2,"7,-4,2,0,0,0","133,167,205,247,293,343,397,455,517",583
5,"5,6,-2,10,-4,-7","-5484730,-7561627,-10224424,-13589095,-17785990,-22960675,-29274772,-36906799,-46053010",-56928235
4,"10,-6,-3,5,3,0","18,11,10,9,74,343,1026,2405,4834,8739",14618
3,"-3,-7,8,-3,0,0","6417,5035,3867,2895,2101,1467,975,607",345
1,"1,-2,0,0,0,0","1,-1,-3,-5,-7,-9,-11,-13,-15",-17
2,"5,1,10,0,0,0","2581,2912,3263,3634,4025,4436,4867,5318,5789,6280",6791
4,"1,-7,-7,-2,10,0","1035703,1286833,1581061,1923055,2317723,2770213",3285913
4,"-2,-10,-6,2,7,0","923607,1133398,1377031,1657962,1979815,2346382,2761623,3229666",3754807
2,"-4,4,8,0,0,0","1508,1296,1100,920,756,608,476,360,260,176",108
1,"-2,-7,0,0,0,0","47,40,33,26,19,12,5,-2,-9,-16",-23
4,"-3,6,-1,-7,9,0","7100277,8102374,9206973,10420836,11750941,13204482,14788869",16511728
4,"2,8,4,6,4,0","2593698,2979056,3405842,3876924,4395266,4963928,5586066,6264932,7003874",7806336
5,"8,0,6,3,7,-2","-34936,-69490,-126392,-214888,-346456,-535046,-797320",-1152892
2,"9,2,8,0,0,0","1137,955,789,639,505,387,285,199,129",75
5,"-6,8,9,-10,-6,-5","-48450,-101380,-192902,-341106,-569026,-905240,-1384470",-2048182
1,"8,10,0,0,0,0","108,118,128,138,148,158,168,178,188",198
4,"-4,-8,-10,10,-6,0","-205132,-272374,-354948,-455026,-574924,-717102,-884164,-1078858,-1304076",-1562854
4,"5,9,7,4,4,0","166143,217715,280469,355917,445667,551423,674985,818249,983207",1171947
1,"3,8,0,0,0,0","235,243,251,259,267,275",283
5,"-2,10,10,2,3,-9","-182421022,-216206702,-254822296,-298768066,-348577682,-404819302,-468096652,-539050106,-618357766,-706736542",-804943232
1,"6,5,0,0,0,0","-44,-39,-34,-29,-24,-19,-14,-9,-4",1
5,"-1,7,9,8,4,-5","316322,176647,91286,42617,17314,5747,1382",181
3,"9,-6,5,-10,0,0","-90522,-104183,-119154,-135495,-153266,-172527,-193338,-215759",-239850
3,"-10,-9,3,-2,0,0","12788,10836,9094,7550,6192",5008
4,"3,-5,-7,-7,9,0","82253,121553,173463,240425,325097,430353,559283,715193,901605",1122257
2,"10,-10,2,0,0,0","1010,1102,1198,1298,1402,1510,1622,1738,1858",1982
1,"5,9,0,0,0,0","-13,-4,5,14,23,32,41",50
5,"-10,-2,3,-9,-10,3","2055,8510,23447,52902,105191,191270,325095,523982",808967
2,"10,-8,-10,0,0,0","-6958,-7496,-8054,-8632,-9230,-9848,-10486",-11144
5,"-7,4,9,-6,7,5","-7,12,261,1706,6681,19488",46997
3,"2,0,5,6,0,0","85826,96877,108838,121745,135634,150541,166502",183553
2,"1,-8,-8,0,0,0","-719,-575,-447,-335,-239,-159,-95,-47,-15",1
4,"4,-3,-1,6,-2,0","-1269152,-1458986,-1669346,-1901660,-2157404,-2438102,-2745326,-3080696,-3445880",-3842594
3,"7,8,0,10,0,0","679,1297,2215,3493,5191,7369,10087,13405,17383",22081
4,"10,4,7,1,3,0","25,102,355,970,2205,4390,7927",13290
4,"9,4,-3,7,-6,0","-734911,-905111,-1103289,-1332355,-1595363,-1895511,-2236141",-2620739
3,"10,9,-1,-1,0,0","-8210,-9503,-10924,-12479,-14174,-16015,-18008,-20159",-22474
4,"-8,-1,4,9,-2,0","116,-38,-518,-1534,-3344,-6254,-10618,-16838,-25364,-36694",-51374
4,"-3,5,-8,-6,9,0","1484697,1211057,977091,778767,612269,473997,360567,268811,195777,138729",95147
4,"3,-4,7,-7,7,0","112698,77743,51636,32739,19582,10863",5448
4,"9,5,-6,10,6,0","171,726,2109,4884,9759,17586,29361",46224
2,"7,-7,9,0,0,0","5909,6379,6867,7373,7897,8439,8999,9577,10173",10787
2,"-8,-4,-7,0,0,0","-8,-19,-44,-83,-136",-203
1,"-2,5,0,0,0,0","-2,3,8,13,18,23,28,33",38
1,"-4,-3,0,0,0,0","-52,-55,-58,-61,-64,-67",-70
3,"-10,6,7,2,0,0","-10,5,46,125,254",445
2,"5,-1,-1,0,0,0","-85,-105,-127,-151,-177,-205,-235,-267,-301,-337",-375
2,"-7,0,7,0,0,0","0,-7,0,21,56,105,168,245,336,441",560
4,"2,2,0,0,-10,0","-814,-162,-10,2,-6,-154,-802,-2550,-6238",-12946
5,"2,0,10,4,10,3","-202998,-113641,-58750,-27291,-10870,-3373,-606",65
2,"-4,-6,-9,0,0,0","-8284,-8839,-9412,-10003,-10612,-11239,-11884,-12547,-13228,-13927",-14644
1,"-5,-5,0,0,0,0","75,70,65,60,55,50,45,40,35,30",25
4,"5,6,1,-6,10,0","864880,680101,526640,400741,298888,217805,154456,106045",70016
2,"-9,-2,-8,0,0,0","-4665,-5059,-5469,-5895,-6337",-6795
3,"6,-3,-8,-7,0,0","-13278,-16764,-20812,-25464,-30762,-36748,-43464,-50952,-59254,-68412",-78468
1,"9,1,0,0,0,0","20,21,22,23,24,25",26
1,"-10,-3,0,0,0,0","8,5,2,-1,-4,-7,-10,-13",-16
2,"-10,-9,-9,0,0,0","-6814,-7318,-7840,-8380,-8938,-9514,-10108,-10720,-11350,-11998",-12664
5,"1,6,-2,6,-3,4","943273,1412412,2052205,2905516,4021857,5457868,7277797,9553980,12367321",15807772
4,"7,-8,-7,-2,-1,0","-45381,-59063,-75641,-95499,-119045,-146711,-178953,-216251,-259109,-308055",-363641
2,"0,-5,-4,0,0,0","-26,-51,-84,-125,-174,-231,-296,-369",-450
2,"10,-7,5,0,0,0","2068,2276,2494,2722,2960,3208,3466,3734,4012,4300",4598
2,"-8,-3,4,0,0,0","629,734,847,968,1097,1234,1379,1532",1693
3,"7,-2,10,-1,0,0","-10861,-12440,-14161,-16030,-18053,-20236,-22585,-25106,-27805,-30688",-33761
3,"-10,9,6,-10,0,0","-89785,-103388,-118299,-134578,-152285,-171480,-192223,-214574,-238593",-264340
1,"5,1,0,0,0,0","16,17,18,19,20,21,22",23
4,"-8,-9,5,3,-8,0","-76598,-112637,-160100,-221177,-298250,-393893,-510872,-652145,-820862,-1020365",-1254188
4,"-9,8,-4,-9,6,0","718894,886551,1081932,1307935,1567602,1864119,2200816,2581167,3008790",3487447
1,"-6,3,0,0,0,0","-39,-36,-33,-30,-27,-24,-21",-18
2,"5,-9,-3,0,0,0","-805,-709,-619,-535,-457,-385,-319,-259,-205",-157
3,"4,7,-1,-1,0,0","1941,1504,1137,834,589,396,249,142,69",24
5,"3,-8,-2,-1,-7,1","829586,1148115,1556122,2071043,2712426,3502051,4464050,5625027,7014178",8663411
2,"7,-3,6,0,0,0","2590,2845,3112,3391,3682,3985,4300,4627,4966",5317
1,"-7,-3,0,0,0,0","-22,-25,-28,-31,-34",-37
5,"-1,-5,1,1,-10,-4","-8601967,-11200482,-14391701,-18271618,-22946067,-28531202,-35153977,-42952626,-52077143",-62689762
5,"-3,-1,-4,0,2,7","3840799,5415957,7470061,10104865,13435611,17591869,22718377,28975881,36541975,45611941",56399589
3,"-3,8,6,-9,0,0","-4163,-6006,-8323,-11168,-14595,-18658,-23411,-28908,-35203",-42350
3,"-3,3,-1,2,0,0","-1569,-1115,-759,-489,-293,-159,-75,-29,-9",-3
1,"-4,-3,0,0,0,0","-46,-49,-52,-55,-58",-61
5,"2,4,-5,3,0,-5","4834,1079,110,-5,2,-1,-146",-1165
3,"8,3,-9,-10,0,0","-203302,-226484,-251364,-278002,-306458,-336792,-369064,-403334,-439662,-478108",-518732
2,"5,-8,10,0,0,0","6557,7079,7621,8183,8765,9367",9989
2,"-3,7,2,0,0,0","201,162,127,96,69,46",27
2,"2,-2,10,0,0,0","2594,2282,1990,1718,1466",1234
2,"2,1,-8,0,0,0","-6697,-7168,-7655,-8158,-8677,-9212,-9763,-10330,-10913",-11512
4,"2,4,9,-8,-5,0","-1764190,-2072398,-2419298,-2807998,-3241726,-3723830,-4257778,-4847158,-5495678,-6207166",-6985570
5,"2,7,6,5,-7,5","-2970672,-2066452,-1397170,-913746,-574468,-344392",-194742
1,"-3,-3,0,0,0,0","21,18,15,12,9",6
2,"-6,-8,1,0,0,0","203,234,267,302,339,378,419,462,507",554
5,"9,8,-8,-5,7,6","-4183,-843,-79,-1,9,17",257
1,"3,-10,0,0,0,0","33,23,13,3,-7,-17,-27,-37",-47
5,"-9,-7,-6,6,3,-1","21698,10185,4126,1331,282,13",-10
4,"3,-7,-1,6,3,0","911838,1077531,1264828,1475529,1711506",1974703
4,"0,-8,-10,4,-9,0","-138215,-94920,-62703,-39488,-23415,-12840,-6335,-2688,-903",-200
4,"7,-7,-5,6,6,0","43279,65437,95157,133987,183619,245889",322777
1,"-3,-5,0,0,0,0","32,27,22,17,12,7,2,-3,-8,-13",-18
4,"0,10,8,3,-9,0","-37968,-22316,-12084,-5850,-2408,-768,-156",-14
5,"-3,-9,-5,8,-5,-7","-8055,-24173,-59421,-127221,-246155",-440805
4,"4,5,-9,-7,9,0","3400754,3983802,4638766,5371328,6187386,7093054,8094662,9198756,10412098,11741666",13194654
2,"7,9,10,0,0,0","65,124,203,302,421,560",719
3,"-4,-10,-1,-3,0,0","2192,1548,1046,668,396,212,98,36,8,-4",-18
2,"3,2,6,0,0,0","31,63,107,163,231,311",403
1,"1,-7,0,0,0,0","106,99,92,85,78,71",64
2,"-6,-6,-5,0,0,0","-2126,-2337,-2558,-2789,-3030",-3281
1,"-8,9,0,0,0,0","136,145,154,163,172",181
5,"9,-2,-9,9,0,-4","5632653,4155177,3005139,2124873,1463913",978513
5,"-3,8,-6,-1,8,-2","45,102,-131,-1488,-5571,-14990,-33603,-66756",-121523
3,"-10,3,8,8,0,0","201917,223280,246099,270422,296297,323772",352895
3,"-7,3,-4,-4,0,0","12548,10143,8066,6293,4800,3563,2558,1761,1148,695",378
4,"9,4,-2,7,1,0","876447,997329,1130269,1276041,1435443,1609297,1798449,2003769,2226151",2466513
5,"-8,8,8,7,1,-8","-1263402,-1956584,-2924956,-4243296,-5998838,-8292232",-11238504
2,"8,-2,1,0,0,0","128,151,176,203,232,263,296,331,368,407",448
1,"-1,3,0,0,0,0","74,77,80,83,86,89,92,95",98
3,"5,-9,-2,-3,0,0","-5575,-7041,-8745,-10705,-12939,-15465,-18301,-21465,-24975,-28849",-33105
1,"-4,-4,0,0,0,0","-20,-24,-28,-32,-36,-40,-44,-48,-52",-56
5,"-4,5,3,-1,7,1","451,1586,1421,856,359",86
4,"-1,-6,5,4,-9,0","-5971,-2457,-775,-145,-3,-1,-7",-105
3,"-1,4,10,-4,0,0","-7,-81,-231,-481,-855,-1377,-2071,-2961",-4071
2,"-7,6,-2,0,0,0","-7,-3,-3,-7,-15",-27
4,"-7,3,3,3,-2,0","-232,-57,-12,-7,0,3",-52
3,"7,7,10,7,0,0","1921,2947,4287,5983,8077,10611,13627,17167,21273,25987",31351
4,"-9,-5,0,4,5,0","96819,67927,46041,29925,18463,10659,5637,2641",1035
2,"-10,1,-5,0,0,0","-868,-742,-626,-520,-424",-338
2,"-1,-10,6,0,0,0","135,83,43,15,-1",-5
5,"-10,-7,4,-5,-8,7","-7842714,-5702755,-4057504,-2815797,-1898422,-1237279,-774540,-461809,-259282,-134907",-63544
2,"-7,-6,3,0,0,0","1865,2018,2177,2342,2513,2690,2873,3062,3257,3458",3665
4,"8,10,6,2,-10,0","-388604,-289112,-210064,-148448,-101492,-66664,-41672,-24464",-13228
3,"-7,-6,5,1,0,0","3,-7,-7,9,47,113,213,353",539
4,"-9,-2,-4,2,1,0","357063,419316,489363,567828,655359",752628
3,"1,10,-1,-10,0,0","-197288,-220023,-244440,-270599,-298560,-328383",-360128
3,"-9,6,-5,-8,0,0","-2956,-4377,-6192,-8449,-11196",-14481
5,"-10,3,8,0,5,2","17588798,21489440,26053108,31360922,37500362,44565508,52657280",61883678
4,"0,-8,-6,10,-8,0","-104632,-149568,-207636,-281176,-372720",-484992
5,"-8,-5,4,-7,10,-4","-28627328,-35263258,-43076210,-52216226,-62845588",-75139298
3,"-6,1,3,6,0,0","-2894,-1924,-1200,-686,-346,-144,-44,-10,-6,4",56
3,"2,1,-6,-5,0,0","16,0,2,-8,-60,-184,-410,-768,-1288,-2000",-2934
3,"-10,-2,-1,-9,0,0","-90,-268,-610,-1170,-2002,-3160",-4698
4,"-1,2,-9,6,4,0","487,74,-25,-14,-1,2",79
3,"1,-3,8,-5,0,0","5831,4321,3097,2129,1387",841
4,"-3,-5,8,-1,-2,0","-11703,-7131,-4035,-2061,-903,-303,-51",15
3,"-4,-4,-5,1,0,0","22376,24858,27516,30356,33384,36606",40028
2,"9,-5,-7,0,0,0","-4143,-4491,-4853,-5229,-5619,-6023,-6441,-6873,-7319,-7779",-8253
5,"1,3,-4,-2,-4,-5","-4006979,-5514191,-7444299,-9880649,-12916883,-16657539,-21218651,-26728349",-33327459
2,"5,-1,-4,0,0,0","-3625,-3870,-4123,-4384,-4653",-4930
5,"-8,9,-4,7,8,-5","13373427,10245358,7731745,5737320,4177207,2976322,2068773",1397260
2,"7,-8,-4,0,0,0","-3833,-4085,-4345,-4613,-4889,-5173,-5465,-5765,-6073,-6389",-6713
1,"-8,6,0,0,0,0","-104,-98,-92,-86,-80",-74
3,"-4,-3,-1,-1,0,0","1239,926,671,468,311",194
3,"2,0,-2,2,0,0","-1618,-1150,-782,-502,-298,-158,-70,-22,-2",2
2,"-3,0,-4,0,0,0","-39,-67,-103,-147,-199,-259,-327,-403,-487,-579",-679
5,"3,5,3,9,-10,8","6279,19978,51333,113718,226027,413634,709353,1154398,1799343,2705082",3943789
3,"-7,-8,-5,-9,0,0","23821,19025,14921,11455,8573,6221,4345,2891,1805",1033
5,"6,-1,10,3,-1,8","25467986,32510505,41031568,51252677,63416430,77787481,94653500,114326133,137141962",163463465
2,"7,-1,6,0,0,0","99,152,217,294,383,484,597",722
4,"-9,5,6,-10,-10,0","-3093,-7334,-14883,-27120,-45665,-72378,-109359,-158948",-223725
3,"3,6,7,-8,0,0","1148,603,264,83,12,3,8,-21,-132,-373",-792
1,"9,3,0,0,0,0","12,15,18,21,24,27",30
1,"1,-7,0,0,0,0","-97,-104,-111,-118,-125,-132,-139,-146,-153",-160
5,"-7,10,7,-6,7,-2","3455685,2582105,1894793,1362249,956741,654065,433305",276593
3,"-8,8,10,10,0,0","824,1532,2560,3968,5816,8164,11072,14600,18808",23756
5,"-9,8,-4,-10,5,-3","-2059539,-2859913,-3892125,-5203305,-6846583,-8881449,-11374113,-14397865,-18033435,-22369353",-27502309
3,"-9,0,4,-4,0,0","5799,4391,3231,2295,1559,999",591
2,"-3,1,-3,0,0,0","-605,-523,-447,-377,-313,-255,-203",-157
4,"7,9,9,1,-1,0","25,53,61,-5,-223,-695,-1547,-2929,-5015",-8003
5,"-2,8,2,-1,-7,-1","-6802930,-8406157,-10297538,-12514177,-15096226,-18087005,-21533122,-25484593",-29994962
2,"-5,-9,-9,0,0,0","-5405,-5855,-6323,-6809,-7313,-7835,-8375",-8933
4,"1,6,10,8,-8,0","-554591,-429839,-327403,-244451,-178343,-126631,-87059,-57563,-36271,-21503",-11771
4,"-1,8,-2,1,-4,0","-266881,-206446,-156913,-116884,-85057,-60226",-41281
2,"-2,8,-6,0,0,0","-522,-640,-770,-912,-1066,-1232,-1410",-1600
4,"-6,3,-8,8,8,0","87224,126835,178590,244745,327748,430239,555050",705205
1,"3,9,0,0,0,0","255,264,273,282,291",300
5,"10,9,8,-10,-2,10","13984873,18630172,24434827,31603390,40363165,50965408",63686527
5,"-3,-10,-6,3,7,8","-10790515,-7943523,-5731953,-4042951,-2777895,-1851435,-1190533",-733503
3,"-9,-7,-10,6,0,0","37402,43851,51000,58885,67542",77007
1,"-2,-6,0,0,0,0","-164,-170,-176,-182,-188,-194,-200,-206",-212
5,"5,4,4,6,4,5","7464076,9904109,12944458,16689685,21255848,26771101,33376294,41225573,50486980,61343053",73991426
1,"5,4,0,0,0,0","125,129,133,137,141,145,149,153",157
3,"-1,0,-7,-8,0,0","61199,52344,44387,37280,30975,25424,20579,16392,12815",9800
4,"5,7,8,7,10,0","11699,5545,2217,677,127,9,5",37
3,"-4,-1,-10,-10,0,0","179,38,-3,-4,-25",-126
5,"10,-7,-3,2,6,-8","28470,9590,2380,348,26,10,0,-160,-1442,-6594",-21100
3,"-5,-9,1,4,0,0","-15,1,-5,-9,13,85,231,475,841",1353
2,"-7,2,-9,0,0,0","-2279,-2574,-2887,-3218,-3567",-3934
4,"3,-8,1,7,-9,0","-552,-1869,-4762,-10161,-19212,-33277,-53934,-82977,-122416,-174477",-241602
3,"-2,0,8,-4,0,0","-17342,-20738,-24550,-28802,-33518,-38722,-44438,-50690,-57502,-64898",-72902
3,"-5,-7,-5,-5,0,0","-5575,-7342,-9449,-11926,-14803",-18110
4,"-3,4,2,2,-2,0","-273717,-221043,-176361,-138819,-107613,-81987,-61233,-44691,-31749",-21843
3,"10,-10,4,7,0,0","5347,7310,9701,12562,15935,19862,24385,29546,35387,41950",49277
4,"1,7,3,-1,-2,0","-140,-499,-1264,-2657,-4948,-8455,-13544,-20629,-30172,-42683",-58720
2,"1,-1,4,0,0,0","2094,2281,2476,2679,2890,3109",3336
3,"4,-8,-2,-5,0,0","-21116,-25275,-29948,-35165,-40956",-47351
2,"-1,4,-4,0,0,0","-121,-169,-225,-289,-361,-441,-529,-625,-729,-841",-961
4,"-8,-2,4,8,-1,0","-94448,-118679,-147188,-180443,-218936,-263183,-313724,-371123,-435968,-508871",-590468
1,"1,-8,0,0,0,0","81,73,65,57,49,41,33,25,17,9",1
3,"-9,7,-10,2,0,0","-174,-79,-28,-9,-10",-19
1,"-6,7,0,0,0,0","64,71,78,85,92,99",106
4,"0,10,2,2,-5,0","-31095,-47700,-70191,-99816,-137943,-186060,-245775",-318816
1,"0,3,0,0,0,0","-9,-6,-3,0,3",6
1,"0,-2,0,0,0,0","20,18,16,14,12,10",8
3,"6,-8,4,-3,0,0","-6013,-7554,-9339,-11386,-13713,-16338,-19279,-22554",-26181
5,"-8,10,9,-2,9,1","1632664,2164483,2825776,3638701,4627792,5820079",7245208
5,"0,-5,1,-4,4,-7","-43983291,-54466104,-66858875,-81411486,-98394723,-118101116,-140845779,-166967250,-196828331",-230816928
